=======  节点名是！  =======
======= 提取了vecters们！ =======
x: 0.2735305, y: -0.049004, z: 0.0926003
x: 0.2631809, y: -0.05541784, z: 0.2004208
x: 0.2756685, y: -0.109158, z: 0.06121136
x: 0.2664365, y: -0.1571646, z: -0.0006918926
x: 0.1873325, y: -0.1067285, z: 0.108149
x: 0.1795581, y: -0.1060969, z: 0.201344
x: 0.1901506, y: -0.1578449, z: 0.07345597
x: 0.1916083, y: -0.1886508, z: -0.0006918926
x: 0.1131846, y: -0.1656193, z: -0.0006918926
x: 0.1006484, y: -0.1185844, z: 0.0652929
x: 0.07596489, y: -0.08904191, z: -0.0006918926
x: 0.06916233, y: 0.01494003, z: 0.08579775
x: 0.06245695, y: 0.01046978, z: 0.0009601563
x: 0.08500257, y: 0.1233922, z: -0.0006918926
x: 0.09724717, y: -0.08068446, z: 0.09988876
x: 0.08947282, y: -0.08117037, z: 0.2020729
x: 0.05720926, y: 0.01712657, z: 0.2003236
x: 0.09394307, y: 0.1150834, z: 0.1984772
x: 0.09219384, y: 0.1224204, z: 0.08123032
x: 0.1861663, y: 0.1770352, z: -0.0006918926
x: 0.1787806, y: 0.1652765, z: 0.2057657
x: 0.1866522, y: 0.1732452, z: 0.08171621
x: 0.08500257, y: 0.1233922, z: -0.0006918926
x: 0.1861663, y: 0.1770352, z: -0.0006918926
x: 0.2679913, y: 0.1400099, z: -0.0006918926
x: 0.3013238, y: 0.03952641, z: 0.002612205
x: 0.06245695, y: 0.01046978, z: 0.0009601563
x: 0.2913144, y: -0.08369703, z: -0.0006918926
x: 0.07596489, y: -0.08904191, z: -0.0006918926
x: 0.1131846, y: -0.1656193, z: -0.0006918926
x: 0.2664365, y: -0.1571646, z: -0.0006918926
x: 0.1916083, y: -0.1886508, z: -0.0006918926
x: -0.0003209244, y: -0.1235406, z: 0.3401162
x: -0.022575, y: 0.01892439, z: 0.2897772
x: -0.0003209244, y: 0.01717515, z: 0.2982319
x: -0.117908, y: -0.1241237, z: 0.3436146
x: -0.0003209244, y: -0.1493903, z: 0.4056151
x: -0.1156728, y: -0.130829, z: 0.4116402
x: -0.09011466, y: -0.08117037, z: 0.2020729
x: -0.05780252, y: 0.01712657, z: 0.2003236
x: -0.1801513, y: -0.1060969, z: 0.201344
x: -0.2517239, y: -0.06494141, z: 0.3620787
x: -0.2637742, y: -0.05541784, z: 0.2004208
x: -0.2452129, y: -0.06348372, z: 0.4363238
x: -0.290207, y: 0.03199501, z: 0.2026559
x: -0.2822383, y: 0.03058591, z: 0.3701446
x: -0.2756301, y: 0.02805924, z: 0.4485683
x: -0.2555139, y: 0.1250443, z: 0.203239
